
2025/01/27 (19:11:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/27 (19:11:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/27 (19:11:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (13:26:08) | ===> btop++ v.1.4.0
2025/02/02 (13:26:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/02 (13:26:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/02 (13:26:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (17:30:27) | ===> btop++ v.1.4.0
2025/02/06 (17:30:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/06 (17:30:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/06 (17:30:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:01:44) | ===> btop++ v.1.4.0
2025/02/06 (18:01:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/06 (18:01:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/06 (18:01:44) | WARNING: Intel GPU: Failed to initialize PMU
